TYPE,CONTEXT,MOD,X,FUNC,METH_TO
func,ext,ctype,ctype,ctype_alnum,
func,ext,ctype,ctype,ctype_alpha,
func,ext,ctype,ctype,ctype_cntrl,
func,ext,ctype,ctype,ctype_digit,
func,ext,ctype,ctype,ctype_lower,
func,ext,ctype,ctype,ctype_graph,
func,ext,ctype,ctype,ctype_print,
func,ext,ctype,ctype,ctype_punct,
func,ext,ctype,ctype,ctype_space,
func,ext,ctype,ctype,ctype_upper,
func,ext,ctype,ctype,ctype_xdigit,
func,ext,posix,posix,posix_kill,
func,ext,posix,posix,posix_getpid,
func,ext,posix,posix,posix_getppid,
func,ext,posix,posix,posix_getuid,
func,ext,posix,posix,posix_setuid,
func,ext,posix,posix,posix_geteuid,
func,ext,posix,posix,posix_seteuid,
func,ext,posix,posix,posix_getgid,
func,ext,posix,posix,posix_setgid,
func,ext,posix,posix,posix_getegid,
func,ext,posix,posix,posix_setegid,
func,ext,posix,posix,posix_getgroups,
func,ext,posix,posix,posix_getlogin,
func,ext,posix,posix,posix_getpgrp,
func,ext,posix,posix,posix_setsid,
func,ext,posix,posix,posix_setpgid,
func,ext,posix,posix,posix_getpgid,
func,ext,posix,posix,posix_getsid,
func,ext,posix,posix,posix_uname,
func,ext,posix,posix,posix_times,
func,ext,posix,posix,posix_ctermid,
func,ext,posix,posix,posix_ttyname,
func,ext,posix,posix,posix_isatty,
func,ext,posix,posix,posix_getcwd,
func,ext,posix,posix,posix_mkfifo,
func,ext,posix,posix,posix_mknod,
func,ext,posix,posix,posix_access,
func,ext,posix,posix,posix_getgrnam,
func,ext,posix,posix,posix_getgrgid,
func,ext,posix,posix,posix_getpwnam,
func,ext,posix,posix,posix_getpwuid,
func,ext,posix,posix,posix_getrlimit,
func,ext,posix,posix,posix_setrlimit,
func,ext,posix,posix,posix_get_last_error,
func,ext,posix,posix,posix_strerror,
func,ext,posix,posix,posix_initgroups,
func,ext,spl,php_spl,spl_classes,
func,ext,spl,php_spl,spl_autoload,
func,ext,spl,php_spl,spl_autoload_extensions,
func,ext,spl,php_spl,spl_autoload_register,
func,ext,spl,php_spl,spl_autoload_unregister,
func,ext,spl,php_spl,spl_autoload_functions,
func,ext,spl,php_spl,spl_autoload_call,
func,ext,spl,php_spl,class_parents,
func,ext,spl,php_spl,class_implements,
func,ext,spl,php_spl,class_uses,
func,ext,spl,php_spl,spl_object_hash,
func,ext,spl,php_spl,spl_object_id,
func,ext,spl,php_spl,iterator_to_array,
func,ext,spl,php_spl,iterator_count,
func,ext,spl,php_spl,iterator_apply,
func,ext,ftp,php_ftp,ftp_connect,
func,ext,ftp,php_ftp,ftp_ssl_connect,
func,ext,ftp,php_ftp,ftp_login,
func,ext,ftp,php_ftp,ftp_pwd,
func,ext,ftp,php_ftp,ftp_cdup,
func,ext,ftp,php_ftp,ftp_chdir,
func,ext,ftp,php_ftp,ftp_exec,
func,ext,ftp,php_ftp,ftp_raw,
func,ext,ftp,php_ftp,ftp_mkdir,
func,ext,ftp,php_ftp,ftp_rmdir,
func,ext,ftp,php_ftp,ftp_chmod,
func,ext,ftp,php_ftp,ftp_alloc,
func,ext,ftp,php_ftp,ftp_nlist,
