Country Code;MIN;MAX;MIX
AF;UTC +04:30;UTC +04:30;UTC +04:30
AX;UTC +02:00;UTC +02:00;UTC +02:00
AL;UTC +01:00;UTC +01:00;UTC +01:00
DZ;UTC +01:00;UTC +01:00;UTC +01:00
AS;UTC -11:00;UTC -11:00;UTC -11:00
AD;UTC +01:00;UTC +01:00;UTC +01:00
AO;UTC +01:00;UTC +01:00;UTC +01:00
AI;UTC -04:00;UTC -04:00;UTC -04:00
AQ;UTC -03:00;UTC +13:00;UTC -03:00 / UTC +13:00
AG;UTC -04:00;UTC -04:00;UTC -04:00
AR;UTC -03:00;UTC -03:00;UTC -03:00
AM;UTC +04:00;UTC +04:00;UTC +04:00
AW;UTC -04:00;UTC -04:00;UTC -04:00
AU;UTC +08:00;UTC +11:00;UTC +08:00 / UTC +11:00
AT;UTC +01:00;UTC +01:00;UTC +01:00
AZ;UTC +04:00;UTC +04:00;UTC +04:00
BS;UTC -05:00;UTC -05:00;UTC -05:00
BH;UTC +04:00;UTC +04:00;UTC +04:00
BD;UTC +06:00;UTC +06:00;UTC +06:00
BB;UTC -04:00;UTC -04:00;UTC -04:00
BY;UTC +03:00;UTC +03:00;UTC +03:00
BE;UTC +01:00;UTC +01:00;UTC +01:00
BZ;UTC -06:00;UTC -06:00;UTC -06:00
BJ;UTC +01:00;UTC +01:00;UTC +01:00
BM;UTC -04:00;UTC -04:00;UTC -04:00
BT;UTC +06:00;UTC +06:00;UTC +06:00
BO;UTC -04:00;UTC -04:00;UTC -04:00
BQ;UTC -04:00;UTC -04:00;UTC -04:00
BA;UTC +01:00;UTC +01:00;UTC +01:00
BW;UTC +02:00;UTC +02:00;UTC +02:00
BR;UTC -05:00;UTC -02:00;UTC -05:00 / UTC -02:00
IO;UTC +06:00;UTC +06:00;UTC +06:00
VG;UTC -04:00;UTC -04:00;UTC -04:00
BN;UTC +08:00;UTC +08:00;UTC +08:00
BG;UTC +02:00;UTC +02:00;UTC +02:00
BF;UTC;UTC;UTC
BI;UTC +02:00;UTC +02:00;UTC +02:00
KH;UTC +07:00;UTC +07:00;UTC +07:00
CM;UTC +01:00;UTC +01:00;UTC +01:00
CA;UTC -08:00;UTC -03:30;UTC -08:00 / UTC -03:30
CV;UTC -01:00;UTC -01:00;UTC -01:00
KY;UTC -05:00;UTC -05:00;UTC -05:00
CF;UTC +01:00;UTC +01:00;UTC +01:00
TD;UTC +01:00;UTC +01:00;UTC +01:00
CL;UTC -05:00;UTC -03:00;UTC -05:00 / UTC -03:00
CN;UTC +06:00;UTC +08:00;UTC +06:00 / UTC +08:00
CX;UTC +07:00;UTC +07:00;UTC +07:00
CC;UTC +06:30;UTC +06:30;UTC +06:30
CO;UTC -05:00;UTC -05:00;UTC -05:00
KM;UTC +03:00;UTC +03:00;UTC +03:00
CK;UTC -10:00;UTC -10:00;UTC -10:00
CR;UTC -06:00;UTC -06:00;UTC -06:00
HR;UTC +01:00;UTC +01:00;UTC +01:00
CU;UTC -05:00;UTC -05:00;UTC -05:00
CW;UTC -04:00;UTC -04:00;UTC -04:00
CY;UTC +02:00;UTC +02:00;UTC +02:00
CZ;UTC +01:00;UTC +01:00;UTC +01:00
CD;UTC +01:00;UTC +02:00;UTC +01:00 / UTC +02:00
DK;UTC +01:00;UTC +01:00;UTC +01:00
DJ;UTC +03:00;UTC +03:00;UTC +03:00
DM;UTC -04:00;UTC -04:00;UTC -04:00
DO;UTC -04:00;UTC -04:00;UTC -04:00
TL;UTC +09:00;UTC +09:00;UTC +09:00
EC;UTC -06:00;UTC -05:00;UTC -06:00 / UTC -05:00
EG;UTC +02:00;UTC +02:00;UTC +02:00
SV;UTC -06:00;UTC -06:00;UTC -06:00
GQ;UTC +01:00;UTC +01:00;UTC +01:00
ER;UTC +03:00;UTC +03:00;UTC +03:00
EE;UTC +02:00;UTC +02:00;UTC +02:00
ET;UTC +03:00;UTC +03:00;UTC +03:00
FK;UTC -03:00;UTC -03:00;UTC -03:00
FO;UTC;UTC;UTC
FJ;UTC +13:00;UTC +13:00;UTC +13:00
FI;UTC +02:00;UTC +02:00;UTC +02:00
FR;UTC +01:00;UTC +01:00;UTC +01:00
GF;UTC -03:00;UTC -03:00;UTC -03:00
PF;UTC -10:00;UTC -09:00;UTC -10:00 / UTC -09:00
TF;UTC +05:00;UTC +05:00;UTC +05:00
GA;UTC +01:00;UTC +01:00;UTC +01:00
GM;UTC;UTC;UTC
GE;UTC +04:00;UTC +04:00;UTC +04:00
DE;UTC +01:00;UTC +01:00;UTC +01:00
GH;UTC;UTC;UTC
GI;UTC +01:00;UTC +01:00;UTC +01:00
GR;UTC +02:00;UTC +02:00;UTC +02:00
GL;UTC -04:00;UTC;UTC -04:00 / UTC
GD;UTC -04:00;UTC -04:00;UTC -04:00
GP;UTC -04:00;UTC -04:00;UTC -04:00
GU;UTC +10:00;UTC +10:00;UTC +10:00
GT;UTC -06:00;UTC -06:00;UTC -06:00
GG;UTC;UTC;UTC
GN;UTC;UTC;UTC
GW;UTC;UTC;UTC
GY;UTC -04:00;UTC -04:00;UTC -04:00
HT;UTC -05:00;UTC -05:00;UTC -05:00
HN;UTC -06:00;UTC -06:00;UTC -06:00
HK;UTC +08:00;UTC +08:00;UTC +08:00
HU;UTC +01:00;UTC +01:00;UTC +01:00
IS;UTC;UTC;UTC
IN;UTC +05:30;UTC +05:30;UTC +05:30
ID;UTC +07:00;UTC +09:00;UTC +07:00 / UTC +09:00
IR;UTC +03:30;UTC +03:30;UTC +03:30
IQ;UTC +03:00;UTC +03:00;UTC +03:00
IE;UTC;UTC;UTC
IM;UTC;UTC;UTC
IL;UTC +02:00;UTC +02:00;UTC +02:00
IT;UTC +01:00;UTC +01:00;UTC +01:00
CI;UTC;UTC;UTC
JM;UTC -05:00;UTC -05:00;UTC -05:00
JP;UTC +09:00;UTC +09:00;UTC +09:00
JE;UTC;UTC;UTC
JO;UTC +02:00;UTC +02:00;UTC +02:00
KZ;UTC +05:00;UTC +06:00;UTC +05:00 / UTC +06:00
KE;UTC +03:00;UTC +03:00;UTC +03:00
KI;UTC +12:00;UTC +14:00;UTC +12:00 / UTC +14:00
KW;UTC +03:00;UTC +03:00;UTC +03:00
KG;UTC +06:00;UTC +06:00;UTC +06:00
LA;UTC +07:00;UTC +07:00;UTC +07:00
LV;UTC +02:00;UTC +02:00;UTC +02:00
LB;UTC +02:00;UTC +02:00;UTC +02:00
LS;UTC +02:00;UTC +02:00;UTC +02:00
LR;UTC;UTC;UTC
LY;UTC +02:00;UTC +02:00;UTC +02:00
LI;UTC +01:00;UTC +01:00;UTC +01:00
LT;UTC +02:00;UTC +02:00;UTC +02:00
