#From a base of 26068472 hosts; at date 23/11/2018;ignored all that have < 100 hits.
www 11337967 43,4930%
blog 75633 0,2901%
m 21019 0,0806%
shop 16924 0,0649%
forum 15158 0,0581%
ww1 13332 0,0511%
ww2 13057 0,0501%
store 10391 0,0399%
en 8429 0,0323%
mail 8192 0,0314%
www2 7791 0,0299%
secure 6194 0,0238%
support 6044 0,0232%
webmail 5843 0,0224%
news 5603 0,0215%
es 5501 0,0211%
wiki 5047 0,0194%
web 4506 0,0173%
forums 4437 0,0170%
portal 4266 0,0164%
ww 3997 0,0153%
my 3947 0,0151%
ww41 3896 0,0149%
fr 3665 0,0141%
blogs 3602 0,0138%
info 3461 0,0133%
mobile 3382 0,0130%
de 3378 0,0130%
ww35 3234 0,0124%
jobs 3221 0,0124%
www5 2843 0,0109%
it 2663 0,0102%
media 2633 0,0101%
dev 2628 0,0101%
www1 2606 0,0100%
home 2560 0,0098%
video 2510 0,0096%
moodle 2503 0,0096%
help 2439 0,0094%
new 2374 0,0091%
community 2363 0,0091%
online 2351 0,0090%
search 2319 0,0089%
wwww 2300 0,0088%
ww5 2275 0,0087%
apps 2271 0,0087%
app 2260 0,0087%
ww17 2245 0,0086%
members 2242 0,0086%
library 2236 0,0086%
www3 2174 0,0083%
demo 2147 0,0082%
bbs 2103 0,0081%
old 2099 0,0081%
photos 2064 0,0079%
archive 2055 0,0079%
careers 1870 0,0072%
beta 1869 0,0072%
site 1864 0,0072%
events 1858 0,0071%
music 1801 0,0069%
us 1777 0,0068%
sklep 1745 0,0067%
english 1732 0,0066%
bip 1712 0,0066%
test 1691 0,0065%
gallery 1684 0,0065%
live 1681 0,0064%
pl 1673 0,0064%
lists 1545 0,0059%
feeds 1517 0,0058%
pt 1511 0,0058%
download 1500 0,0058%
wap 1475 0,0057%
ru 1450 0,0056%
intranet 1446 0,0055%
business 1425 0,0055%
uk 1413 0,0054%
login 1403 0,0054%
games 1388 0,0053%
catalog 1374 0,0053%
associates 1357 0,0052%
tv 1335 0,0051%
w 1329 0,0051%
images 1324 0,0051%
ir 1296 0,0050%
directory 1295 0,0050%
docs 1252 0,0048%
nl 1241 0,0048%
com 1167 0,0045%
go 1166 0,0045%
eng 1163 0,0045%
admin 1124 0,0043%
ftp 1107 0,0042%
maps 1101 0,0042%
stores 1097 0,0042%
tickets 1064 0,0041%
galleries 1047 0,0040%
api 1043 0,0040%
cms 1042 0,0040%
ca 1029 0,0039%
static 1028 0,0039%
ar 1027 0,0039%
chat 1021 0,0039%
ww3 1016 0,0039%
services 994 0,0038%
ww43 993 0,0038%
videos 966 0,0037%
ww10 959 0,0037%
photo 947 0,0036%
reviews 942 0,0036%
local 937 0,0036%
radio 917 0,0035%
cdn 899 0,0034%
research 889 0,0034%
elearning 883 0,0034%
data 879 0,0034%
alumni 875 0,0034%
free 875 0,0034%
192 825 0,0032%
id 821 0,0031%
pages 818 0,0031%
investor 809 0,0031%
cs 802 0,0031%
tr 802 0,0031%
wp 766 0,0029%
extranet 764 0,0029%
hr 762 0,0029%
libguides 745 0,0029%
loja 738 0,0028%
connect 736 0,0028%
weather 730 0,0028%
training 729 0,0028%
travel 728 0,0028%
service 727 0,0028%
board 725 0,0028%
developer 722 0,0028%
archives 719 0,0028%
calendar 707 0,0027%
gis 706 0,0027%
i 706 0,0027%
sites 702 0,0027%
jp 700 0,0027%
pro 700 0,0027%
files 699 0,0027%
forms 698 0,0027%
classifieds 697 0,0027%
game 696 0,0027%
edu 695 0,0027%
co 691 0,0027%
users 690 0,0026%
register 687 0,0026%
cn 682 0,0026%
email 679 0,0026%
br 677 0,0026%
tour 667 0,0026%
books 665 0,0026%
education 664 0,0025%
lib 663 0,0025%
au 662 0,0025%
health 654 0,0025%
digital 652 0,0025%
www4 648 0,0025%
join 644 0,0025%
projects 640 0,0025%
labs 637 0,0024%
tw 635 0,0024%
content 633 0,0024%
google 619 0,0024%
tech 615 0,0024%
eshop 611 0,0023%
investors 610 0,0023%
portfolio 609 0,0023%
sport 609 0,0023%
in 607 0,0023%
auto 603 0,0023%
signup 601 0,0023%
survey 601 0,0023%
learn 598 0,0023%
staging 585 0,0022%
myaccount 581 0,0022%
links 579 0,0022%
reservations 578 0,0022%
ci 576 0,0022%
img 571 0,0022%
spanish 567 0,0022%
press 566 0,0022%
wordpress 564 0,0022%
shopping 561 0,0022%
tienda 561 0,0022%
2013 560 0,0021%
people 558 0,0021%
map 554 0,0021%
ads 553 0,0021%
2012 552 0,0021%
art 551 0,0021%
book 551 0,0021%
downloads 551 0,0021%
corporate 549 0,0021%
shw 549 0,0021%
math 545 0,0021%
w3 542 0,0021%
club 541 0,0021%
resources 536 0,0021%
apply 533 0,0020%
foro 529 0,0020%
faculty 528 0,0020%
boutique 527 0,0020%
member 527 0,0020%
ro 526 0,0020%
tools 526 0,0020%
marketplace 525 0,0020%
android 519 0,0020%
marketing 519 0,0020%
helpdesk 518 0,0020%
sms 516 0,0020%
sports 516 0,0020%
lpse 514 0,0020%
about 510 0,0020%
action 509 0,0020%
campus 509 0,0020%
ssl 509 0,0020%
journal 508 0,0019%
rss 506 0,0019%
usa 505 0,0019%
magazine 502 0,0019%
foto 500 0,0019%
school 496 0,0019%
e 494 0,0019%
student 494 0,0019%
faq 492 0,0019%
public 491 0,0019%
se 489 0,0019%
ww31 489 0,0019%
history 484 0,0019%
code 482 0,0018%
products 482 0,0018%
speedtest 482 0,0018%
sex 479 0,0018%
iphone 473 0,0018%
clients 468 0,0018%
s 466 0,0018%
lms 464 0,0018%
svn 464 0,0018%
2014 460 0,0018%
play 458 0,0018%
webshop 458 0,0018%
newsletter 456 0,0017%
account 455 0,0017%
th 455 0,0017%
git 454 0,0017%
global 453 0,0017%
facebook 451 0,0017%
kb 450 0,0017%
design 449 0,0017%
owa 448 0,0017%
software 441 0,0017%
international 435 0,0017%
status 435 0,0017%
law 432 0,0017%
mx 432 0,0017%
donate 430 0,0016%
fi 429 0,0016%
booking 428 0,0016%
social 428 0,0016%
sp 428 0,0016%
a 426 0,0016%
hu 426 0,0016%
movies 426 0,0016%
love 424 0,0016%
kids 421 0,0016%
legacy 420 0,0016%
no 420 0,0016%
food 418 0,0016%
courses 417 0,0016%
finance 415 0,0016%
students 413 0,0016%
partners 412 0,0016%
main 411 0,0016%
b2b 410 0,0016%
conference 410 0,0016%
espanol 409 0,0016%
job 409 0,0016%
epaper 404 0,0015%
hk 404 0,0015%
staff 404 0,0015%
eu 402 0,0015%
promo 402 0,0015%
alt 399 0,0015%
blackboard 398 0,0015%
doc 398 0,0015%
answers 397 0,0015%
dl 396 0,0015%
stats 392 0,0015%
chicago 388 0,0015%
bg 387 0,0015%
tours 387 0,0015%
blogg 384 0,0015%
ja 384 0,0015%
podcast 382 0,0015%
realestate 382 0,0015%
2011 381 0,0015%
ms 375 0,0014%
corp 374 0,0014%
partner 374 0,0014%
katalog 373 0,0014%
noticias 373 0,0014%
top 370 0,0014%
vip 367 0,0014%
la 366 0,0014%
xxx 366 0,0014%
mirror 361 0,0014%
sg 360 0,0014%
order 358 0,0014%
science 356 0,0014%
origin 353 0,0014%
me 352 0,0014%
access 350 0,0013%
event 350 0,0013%
reg 350 0,0013%
registration 349 0,0013%
sales 349 0,0013%
db 346 0,0013%
dk 346 0,0013%
